no;testno;brand;model;power_l;matt;dim;color_l;lm_l;eq_l;ra_l;u;pf_l;angle_l;life;war;prod;w;d;h;t;barcode;plant;importer;base;shape;type;type2;url;shop;rub;usd;p;pf;lm;color;cri;r9;Rf;Rg;Duv;flicker230;flicker220;flicker207;flicker;angle;switch;umin;drv;tmax;date;instruments;add2;add3;add4;add5;cqs;eq;rating;lamp_image;lamp_desc
603;603;iRLED;iRLED-P45 E14 4W-N;4;1;0;4200;320;35;;220;;;30000;24;;;45;80;;4627088591518;;;E14;G45;LED;;http://irled.ru/catalog/leds-e14/32/;;190;;3.7;49;364;4428;82.9;8;;;;1;;;1;171;3;;;;28.02.2016;1111100000;;1;;;;40;4.5;00603-irled-irled-p45-e14-4w-n;G45 320Lm 4W 4200K M E14
604;604;iRLED;iRLED-R39 E14 3W-W;3;1;0;3000;245;25;;220;;;30000;24;;;39;70;;4627088590269;;;E14;R39;LED;;http://irled.ru/catalog/leds-e14/r39-e14/;;210;;3;50;211;3450;82.9;4;;;;1;;;1;136;1;;;;28.02.2016;1111100000;;1;;;;35;4.3;00604-irled-irled-r39-e14-3w-w;R39 245Lm 3W 3000K M E14
605;605;iRLED;iRLED-MR16 GU5.3 спот 4W-W 12V;4;1;0;3000;300;40;;12;;;30000;24;;;50;45;;;;;GU5.3;Spot;LED;;http://irled.ru/catalog/leds-gu53/mr16-gu53-12v/;;190;;2.7;;190;2948;73.6;-24;;;;2;;;2;107;;;;;09.03.2016;1111100000;;1;;;;25;2.9;00605-irled-irled-mr16-gu53-spot-4w-w-12v;Spot 300Lm 4W 3000K M GU5.3 12v
606;606;iRLED;iRLED-G4 12V 2W-W;2;0;0;3000;170;15;;12;;;30000;24;;;13;36;;4627088590917;;;G4;Cap;LED;;http://irled.ru/catalog/leds-g4/g4/;;270;;1.5;;133;2778;72.8;-22;;;;4;;;4;267;;;;;09.03.2016;1111100000;;1;;;;10;2.8;00606-irled-irled-g4-12v-2w-w;Cap 170Lm 2W 3000K G4 12v
607;607;Sky Lark;SLL-A12B1SW201;12;1;0;2700;1020;95;;220-230;;;25000;24;0714;;60;118;;4607809511360;;;E27;Bulb;LED;;http://skylark-light.ru/catalog/1/6/;;600;;11.6;81;948;2722;83.1;10;;;;1;;;1;126;3;162;1;;28.02.2016;1111100000;;1;;;;85;4.4;00607-sky-lark-sll-a12b1sw201;Bulb 1020Lm 12W 2700K M E27
608;608;Sky Lark;SLL-A10B1SW201;10;1;0;2700;820;75;;220-230;;;25000;24;0714;;60;117;;4607809511346;;;E27;Bulb;LED;;http://skylark-light.ru/catalog/1/29/;;535;;9.7;80;789;2712;83.1;10;;;;1;;;1;125;3;150;1;;28.02.2016;1111100000;;1;;;;75;4.5;00608-sky-lark-sll-a10b1sw201;Bulb 820Lm 10W 2700K M E27
609;609;Sky Lark;SLL-B04C1SW201;4;1;0;2700;310;35;;220-230;;;25000;24;0714;;37;100;;4607809511209;;;E14;Candle;LED;;http://skylark-light.ru/catalog/1/32/;;350;;4;61;272;2808;82.7;7;;;;1;;;1;250;3;89;2;;28.02.2016;1111100000;;1;;;;30;4.3;00609-sky-lark-sll-b04c1sw201;Candle 310Lm 4W 2700K M E14
610;610;Sky Lark;SLL-A7,5B2DW212;7.5;0;0;2700;720;60;;220-230;;;20000;24;0115;;59;110;;4607809512213;;;E27;Bulb;LED;FIL;http://skylark-light.ru/catalog/1/7/;;620;;7.3;59;790;2884;84.1;20;;;;1;;;1;286;1;153;1;;28.02.2016;1111100000;;1;;;;75;4.5;00610-sky-lark-sll-a75b2dw212;Bulb 720Lm 7.5W 2700K F E27
611;611;Sky Lark;SLL-A06B2DW212;6;0;0;2700;540;50;;220-230;;;20000;24;0115;;59;110;;4607809511926;;;E27;Bulb;LED;FIL;http://skylark-light.ru/catalog/1/9/;;540;;5.6;57;551;2928;84;20;;;;1;;;1;290;1;145;1;;28.02.2016;1111100000;;1;;;;60;4.5;00611-sky-lark-sll-a06b2dw212;Bulb 540Lm 6W 2700K F E27
612;612;Sky Lark;SLL-B04L2DW212;4;0;0;2700;350;35;;220-230;;;20000;24;0115;;35;117;;4607809511940;;;E14;Candle;LED;FIL;http://skylark-light.ru/catalog/1/5/;;480;;3.9;52;425;2987;83.2;21;;;;1;;;1;285;1;89;1;;28.02.2016;1111100000;;1;;;;50;4.5;00612-sky-lark-sll-b04l2dw212;Candle 350Lm 4W 2700K F E14
613;613;Sky Lark;SLL-F2.5G3SW214;2.5;0;0;2700;180;25;;220-230;;;25000;24;;;15;49;;4607809512152;;;G9;Cap;LED;;http://skylark-light.ru/catalog/1/61/;;350;;2.1;48;141;2937;82.4;9;;;;1;;;1;273;3;;;;28.02.2016;1111100000;;;;;;15;4.0;00613-sky-lark-sll-f25g3sw214;Cap 180Lm 2.5W 2700K G9
614;614;Sky Lark;SLL-E02E3SW114;2;0;0;2700;140;20;;12;;;25000;24;;;13;37;;4607809512190;;;G4;Cap;LED;;http://skylark-light.ru/catalog/1/60/;;230;;2;;135;3009;82.4;10;;;;9;;;9;275;;;;;09.03.2016;1111100000;;1;;;;10;4.5;00614-sky-lark-sll-e02e3sw114;Cap 140Lm 2W 2700K G4 12v
615;615;Camelion;LED15-A65/830/E27;15;1;0;3000;1280;125;77;220-240;;;30000;36;1215;;65;131;;4895117875063;;;E27;Bulb;LED;;http://camelion.ru/katalog/lampy/svetodiodnye/seriya-basicpower/svetodiodnaya-lampa-led15-a65830e27;;191;;13.08;58;1385;2999;74.5;-17;;;;1;;;1;145;1;;;;08.03.2016;1111100000;;1;IS;;;120;4.0;00615-camelion-led15-a65-830-e27;Bulb 1280Lm 15W 3000K M E27
616;616;Camelion;LED ULTRA LED14-A60/830/E27;14;1;0;3000;1270;120;82;220-240;;;40000;36;1115;;60;119;;4895117872581;;;E27;Bulb;LED;;http://camelion.ru/katalog/lampy/led14-a60-830-e27;;280;;14.27;56;1350;3014;82.8;5;;;;1;;;1;177;1;;;;08.03.2016;1111100000;;1;IS;;;115;4.5;00616-camelion-led-ultra-led14-a60-830-e27;Bulb 1270Lm 14W 3000K M E27
617;617;Camelion;LED13-A60/830/E27;13;1;0;3000;1045;100;77;220-240;;;30000;36;1215;;60;112;;4895117873977;;;E27;Bulb;LED;;http://camelion.ru/katalog/lampy/svetodiodnye/seriya-basicpower/svetodiodnaya-lampa-led13-a60830e27;;101;;10.44;59;897;3118;75.4;-15;;;;1;;;1;196;1;;;;08.03.2016;1111100000;;1;;;;80;3.8;00617-camelion-led13-a60-830-e27;Bulb 1045Lm 13W 3000K M E27
618;618;Camelion;LED ULTRA LED12-A60/830/E27;12;1;0;3000;1055;95;82;220-240;;;40000;36;1115;;60;116;;4895117868232;;;E27;Bulb;LED;;http://camelion.ru/katalog/lampy/led12-a60-830-e27;;125;;10.75;55;924;3088;82.7;6;;;;1;;;1;188;3;;;;08.03.2016;1111100000;;1;;шкаф;;85;4.3;00618-camelion-led-ultra-led12-a60-830-e27;Bulb 1055Lm 12W 3000K M E27
619;619;Camelion;LED11-A60/830/E27;11;1;0;3000;840;80;77;220-240;;;30000;36;1215;;60;112;;4895117873953;;;E27;Bulb;LED;;http://camelion.ru/katalog/lampy/svetodiodnye/seriya-basicpower/svetodiodnaya-lampa-led11-a60830e27;;76;;8.31;54;728;2977;73.9;-20;;;;1;;;1;197;1;;;;08.03.2016;1111100000;;1;;;;70;3.3;00619-camelion-led11-a60-830-e27;Bulb 840Lm 11W 3000K M E27
620;620;Camelion;LED10-A60-D/830/E27;10;1;1;3000;790;75;82;220-240;;;30000;36;0314;;60;110;;4895117870853;;;E27;Bulb;LED;;http://camelion.ru/katalog/lampy/led10-a60-d-830-e27;;380;;9.71;88;734;3069;83.1;12;;;;10;;;10;192;1;;;;08.03.2016;1111100000;;1;;;;70;4.4;00620-camelion-led10-a60-d-830-e27;Bulb 790Lm 10W 3000K M D E27
621;621;Camelion;LED9-A60/830/E27;9;1;0;3000;680;65;77;220-240;;;30000;36;1215;;60;114;;4895117873939;;;E27;Bulb;LED;;http://camelion.ru/katalog/lampy/svetodiodnye/seriya-basicpower/svetodiodnaya-lampa-led9-a60830e27;;99;;7.7;53;648;3027;74;-19;;;;1;;;1;199;1;;;;08.03.2016;1111100000;;1;IS;;;65;3.5;00621-camelion-led9-a60-830-e27;Bulb 680Lm 9W 3000K M E27
622;622;Camelion;LED7-A60/830/E27;7;1;0;3000;520;50;77;220-240;;;30000;36;1215;;60;112;;4895117867792;;;E27;Bulb;LED;;http://camelion.ru/katalog/lampy/svetodiodnye/seriya-basicpower/led7-a60-830-e27;;95;;6.82;56;585;2996;73.7;-21;;;;1;;;1;198;1;;;;08.03.2016;1111100000;;1;;;;60;3.5;00622-camelion-led7-a60-830-e27;Bulb 520Lm 7W 3000K M E27
623;623;Camelion;LED ULTRA LED10-R63/830/E27;10;1;0;3000;800;90;82;220-240;;;40000;36;0915;;63;99;;4895117873878;;;E27;R63;LED;;http://camelion.ru/katalog/lampy/svetodiodnaya-lampa-led10-r63830e27;;155;;9.38;59;801;2981;83.3;14;;;;1;;;1;112;3;;;;08.03.2016;1111100000;;1;;;;95;4.5;00623-camelion-led-ultra-led10-r63-830-e27;R63 800Lm 10W 3000K M E27
624;624;Camelion;LED8.5-R63/830/E27;8.5;1;0;3000;640;75;82;220-240;;;30000;36;1115;;63;98;;4895117871171;;;E27;R63;LED;;http://camelion.ru/katalog/lampy/svetodiodnye/seriya-basicpower/led85-r63-830-e27;;110;;7.17;56;556;3038;83.6;9;;;;1;;;1;112;1;;;;08.03.2016;1111100000;;1;;;;80;4.3;00624-camelion-led85-r63-830-e27;R63 640Lm 8.5W 3000K M E27
625;625;Camelion;LED ULTRA LED8-A60-FL/830/E27;8;0;0;3000;760;75;82;220-240;;;40000;36;0715;;60;107;;4895117873250;;;E27;Bulb;LED;FIL;http://camelion.ru/katalog/lampy/svetodiodnaya-lampa-led8-a60-fl830e27;;310;;7.06;59;652;3019;82.4;12;;;;1;;;1;288;1;;;;04.05.2016;1111100000;;1;;;;65;4.3;00625-camelion-led-ultra-led8-a60-fl-830-e27;Bulb 760Lm 8W 3000K F E27
626;626;Camelion;LED ULTRA LED6-A60-FL/830/E27;6;0;0;3000;640;60;82;220-240;;;40000;36;0715;;60;106;;4895117873243;;;E27;Bulb;LED;FIL;http://camelion.ru/katalog/lampy/svetodiodnaya-lampa-led6-a60-fl830e27;;237;;5.59;57;610;2984;82.6;11;;;;1;;;1;289;1;;;;04.05.2016;1111100000;;1;IS;;;65;4.5;00626-camelion-led-ultra-led6-a60-fl-830-e27;Bulb 640Lm 6W 3000K F E27
627;627;Camelion;LED ULTRA LED7.5-G45/830/E27;7.5;1;0;3000;645;70;82;220-240;;;40000;36;0915;;45;78;;4895117872949;;;E27;G45;LED;;http://camelion.ru/katalog/lampy/led75-g45830e27;;129;;5.8;57;571;3108;82.8;7;;;;2;;;2;126;3;;;;08.03.2016;1111100000;;1;;;;60;4.3;00627-camelion-led-ultra-led75-g45-830-e27;G45 645Lm 7.5W 3000K M E27
628;628;Camelion;LED ULTRA LED7.5-G45/845/E14;7.5;1;0;4500;680;70;82;220-240;;;40000;36;0915;;45;82;;4895117872956;;;E14;G45;LED;;http://camelion.ru/katalog/lampy/led75-g45845e14;;129;;5.88;57;616;4017;83.3;6;;;;2;;;2;124;3;;;;08.03.2016;1111100000;;1;;шкаф;;65;4.2;00628-camelion-led-ultra-led75-g45-845-e14;G45 680Lm 7.5W 4500K M E14
629;629;Camelion;LED ULTRA LED6.5-G45/830/E14;6.5;1;0;3000;560;60;;220-240;;;40000;36;;;45;82;;4895117869475;;;E14;G45;LED;;http://camelion.ru/katalog/lampy/led65-g45-830-e14;;98;;5.3;61;460;3148;82.7;6;;;;2;;;2;172;3;;;;08.03.2016;1111100000;;1;;;;50;4.2;00629-camelion-led-ultra-led65-g45-830-e14;G45 560Lm 6.5W 3000K M E14
630;630;Camelion;LED ULTRA LED5.5-G45/830/E27;5.5;1;0;3000;475;50;82;220-240;;;40000;36;1015;;45;73;;4895117868461;;;E27;G45;LED;;http://camelion.ru/katalog/lampy/led55-g45-830-e27;;98;;4.8;52;454;3007;83.2;8;;;;1;;;1;147;3;;;;08.03.2016;1111100000;;1;IS;;;50;4.5;00630-camelion-led-ultra-led55-g45-830-e27;G45 475Lm 5.5W 3000K M E27
631;631;Camelion;LED6-R50/830/E14;6;1;0;3000;455;60;77;220-240;;;30000;36;1015;34;50;84;;4895117871157;;;E14;R50;LED;;http://camelion.ru/katalog/lampy/svetodiodnye/seriya-basicpower/led6-r50-830-e14;;94;;4.9;33;394;3052;74.6;-24;;;;79;;;79;120;2;207;4;;08.03.2016;1111100000;;10;;;;65;0.8;00631-camelion-led6-r50-830-e14;R50 455Lm 6W 3000K M E14
632;632;Camelion;LED ULTRA LED3.5-R39/830/E14;3.5;1;0;3000;275;40;82;220-240;;;40000;36;1015;;39;74;;4895117865873;;;E14;R39;LED;;http://camelion.ru/katalog/lampy/led35-r39-830-e14;;109;;3.73;52;226;2943;82.3;4;;;;1;;;1;116;1;;;;08.03.2016;1111100000;;1;;;;40;4.2;00632-camelion-led-ultra-led35-r39-830-e14;R39 275Lm 3.5W 3000K M E14
633;633;Camelion;LED ULTRA LED4-G45-FL/830/E27;4;0;0;3000;410;40;82;220-240;;;40000;36;0415;;45;74;;4895117873298;;;E27;G45;LED;FIL;http://camelion.ru/katalog/lampy/svetodiodnaya-lampa-led4-g45-fl830e27;;160;;3.52;51;401;2698;81.8;4;;;;1;;;1;270;3;;;;08.03.2016;1111100000;;1;IS;;;45;4.3;00633-camelion-led-ultra-led4-g45-fl-830-e27;G45 410Lm 4W 3000K F E27
634;634;Camelion;LED ULTRA LED4-G45-FL/830/E14;4;0;0;3000;410;40;82;220-240;;;40000;36;0715;;45;77;;4895117873281;;;E14;G45;LED;FIL;http://camelion.ru/katalog/lampy/svetodiodnaya-lampa-led4-g45-fl830e14;;160;;3.85;40;453;2865;82;7;;;;1;;;1;278;1;;;;08.03.2016;1111100000;;1;;;;50;4.5;00634-camelion-led-ultra-led4-g45-fl-830-e14;G45 410Lm 4W 3000K F E14
635;635;Camelion;LED ULTRA LED7.5-C35/830/E14;7.5;1;0;3000;645;70;82;220-240;;;40000;36;1115;;38;111;;4895117872970;;;E14;Candle;LED;;http://camelion.ru/katalog/lampy/led75-c35830e14;;129;;5.85;57;531;3057;82.5;5;;;;1;;;1;246;1;;;;08.03.2016;1111100000;;1;;;;55;4.2;00635-camelion-led-ultra-led75-c35-830-e14;Candle 645Lm 7.5W 3000K M E14
636;636;Camelion;LED ULTRA LED5.5-C35/830/E14;5.5;1;0;3000;475;50;82;220-240;;;40000;36;1015;;38;113;;4895117868492;;;E14;Candle;LED;;http://camelion.ru/katalog/lampy/svetodiodnye/seriya-brightpower/led55-c35-830-e14;;119;;4.7;50;426;3022;83.2;9;;;;0;;;0;206;3;;;;08.03.2016;1111100000;;1;;шкаф;;50;4.3;00636-camelion-led-ultra-led55-c35-830-e14;Candle 475Lm 5.5W 3000K M E14
637;637;Camelion;LED ULTRA LED5-C35-D/830/E14;5;1;1;3000;480;50;82;220-240;;;40000;36;0515;;38;113;;4895117870860;;;E14;Candle;LED;;http://camelion.ru/katalog/lampy/led5-c35-d-830-e14;;385;;5.44;55;463;3154;83.1;7;;;;1;;;1;248;1;;;;08.03.2016;1111100000;;1;;в люстре;;50;4.5;00637-camelion-led-ultra-led5-c35-d-830-e14;Candle 480Lm 5W 3000K M D E14
638;638;Camelion;LED ULTRA LED4-C35-FL/830/E14;4;0;0;3000;410;40;82;220-240;;;40000;36;0715;;35;99;;4895117873267;;;E14;Candle;LED;FIL;http://camelion.ru/katalog/lampy/svetodiodnaya-lampa-led4-c35-fl830e14;;240;;3.9;39;427;2919;82.5;7;;;;1;;;1;277;1;;;;08.03.2016;1111100000;;1;IS;;;50;4.5;00638-camelion-led-ultra-led4-c35-fl-830-e14;Candle 410Lm 4W 3000K F E14
639;639;Camelion;LED ULTRA LED8-GU10/830/GU10;8;1;0;3000;550;65;82;220-240;;;40000;36;1115;;50;57;;4895117870389;;;GU10;Spot;LED;;http://camelion.ru/katalog/lampy/led8-gu10-830-gu10;;135;;6.6;59;547;3119;82.5;5;;;;1;;;1;107;1;;;;08.03.2016;1111100000;;1;;;;60;4.5;00639-camelion-led-ultra-led8-gu10-830-gu10;Spot 550Lm 8W 3000K M GU10
640;640;Camelion;LED ULTRA LED8-JCDR/830/GU5.3;8;1;0;3000;550;65;82;220-240;;;40000;36;1015;;50;48;;4895117870402;;;GU5.3;Spot;LED;;http://camelion.ru/katalog/lampy/led8-jcdr-830-gu53;;135;;6.4;58;566;3109;82.3;5;;;;2;;;2;103;3;;;;08.03.2016;1111100000;;1;;;;60;4.5;00640-camelion-led-ultra-led8-jcdr-830-gu53;Spot 550Lm 8W 3000K M GU5.3
641;641;Camelion;LED ULTRA LED7-JCDR-D/830/GU5.3;7;1;1;3000;470;60;82;220-240;;;40000;36;1115;;50;55;;4895117872024;;;GU5.3;Spot;LED;;http://camelion.ru/katalog/lampy/led7-jcdr-d-830-gu53;;390;;6.7;80;478;3188;83.4;10;;;;4;;;4;105;1;;;;08.03.2016;1111100000;;1;;;;55;4.5;00641-camelion-led-ultra-led7-jcdr-d-830-gu53;Spot 470Lm 7W 3000K M D GU5.3
642;642;Camelion;LED7-GU10/830/GU10;7;1;0;3000;460;55;77;220-240;;;30000;36;1215;;50;52;;4895117871119;;;GU10;Spot;LED;;http://camelion.ru/katalog/lampy/svetodiodnye/seriya-basicpower/led7-gu10-830-gu10;;70;;4.92;52;443;2954;73.7;-18;;;;0;;;0;107;1;;;;08.03.2016;1111100000;;1;;;;50;3.5;00642-camelion-led7-gu10-830-gu10;Spot 460Lm 7W 3000K M GU10
643;643;Camelion;LED7-JCDR/830/GU5.3;7;1;0;3000;460;55;77;220-240;;;30000;36;1215;;50;44;;4895117871133;;;GU5.3;Spot;LED;;http://camelion.ru/katalog/lampy/svetodiodnye/seriya-basicpower/led7-jcdr-830-gu53;;70;;4.97;54;426;2969;73.9;-17;;;;0;;;0;105;1;;;;08.03.2016;1111100000;;1;;;;50;3.4;00643-camelion-led7-jcdr-830-gu53;Spot 460Lm 7W 3000K M GU5.3
644;644;Camelion;LED7-JCDR/845/GU5.3;7;1;0;4500;485;55;77;220-240;;;30000;36;1512;;50;44;;4895117871140;;;GU5.3;Spot;LED;;http://camelion.ru/katalog/lampy/svetodiodnye/seriya-basicpower/led7-jcdr-845-gu53;;70;;4.86;53;443;4082;74.7;-12;;;;1;;;1;105;1;;;;08.03.2016;1111100000;;1;;;;50;3.7;00644-camelion-led7-jcdr-845-gu53;Spot 485Lm 7W 4500K M GU5.3
645;645;Camelion;LED ULTRA LED6-GU10/830/GU10;6;1;0;3000;450;55;82;220-240;;;40000;36;1015;;50;51;;4895117868614;;;GU10;Spot;LED;;http://camelion.ru/katalog/lampy/led6-gu10-830-gu10;;95;;4.87;53;401;3079;83.5;8;;;;0;;;0;108;1;;;;08.03.2016;1111100000;;1;;шкаф;;45;4.3;00645-camelion-led-ultra-led6-gu10-830-gu10;Spot 450Lm 6W 3000K M GU10
646;646;Camelion;LED ULTRA LED6-JCDR/830/GU5.3;6;1;0;3000;450;55;82;220-240;;;40000;36;1115;;50;44;;4895117868652;;;GU5.3;Spot;LED;;http://camelion.ru/katalog/lampy/led6-jcdr-830-gu53;;95;;5.37;57;469;3003;82.2;3;;;;1;;;1;106;3;;;;08.03.2016;1111100000;;1;;;;50;4.5;00646-camelion-led-ultra-led6-jcdr-830-gu53;Spot 450Lm 6W 3000K M GU5.3
647;647;Camelion;LED ULTRA LED10-GX53/830/GX53;10;1;0;3000;810;90;82;220-240;;;40000;36;1215;;74;29;;4895117874165;;;GX53;Spot;LED;;http://camelion.ru/katalog/lampy/svetodiodnye/seriya-brightpower/svetodiodnaya-lampa-led10-gx53830gx53;;188;;9;56;742;3273;83.8;9;;;;1;;;1;98;1;;;;08.03.2016;1111100000;;1;;;;75;4.4;00647-camelion-led-ultra-led10-gx53-830-gx53;Spot 810Lm 10W 3000K M GX53
648;648;Camelion;LED ULTRA LED8-GX53/830/GX53;8;1;0;3000;650;70;82;220-240;;;40000;36;1215;;74;30;;4895117872000;;;GX53;Spot;LED;;http://camelion.ru/katalog/lampy/led8-gx53-830-gx53;;145;;8.22;55;720;3251;83.8;10;;;;1;;;1;99;3;;;;08.03.2016;1111100000;;1;IS;;;70;4.5;00648-camelion-led-ultra-led8-gx53-830-gx53;Spot 650Lm 8W 3000K M GX53
649;649;Camelion;LED ULTRA LED2.5-JC/830/G4;2.5;1;0;3000;195;25;82;12;;;40000;36;0515;;18;54;;4895117868966;;;G4;Cap;LED;;http://camelion.ru/katalog/lampy/led25-jc-830-g4;;160;;2.5;;220;3016;84;11;;;;2;;;2;164;;;;;08.03.2016;1111100000;;1;;;;20;4.5;00649-camelion-led-ultra-led25-jc-830-g4;Cap 195Lm 2.5W 3000K M G4 12v
650;650;Экономка;Eco_LED7WA60E2730_CL;7;1;0;3000;520;60;;220;;;30000;12;;;60;109;;4690488015106;;;E27;Bulb;LED;;http://ekonomca.ru/ourproduct/#/led-series/klassika-7vt;;117;;4.8;40;370;3141;84.1;11;;;;45;;;45;202;1;;;;08.03.2016;1111100000;;;;;;45;1.4;00650-ekonomka-eco_led7wa60e2730_cl;Bulb 520Lm 7W 3000K M E27
651;651;Экономка;Eco_LED7WGL45E2730;7;1;0;3000;540;75;;220;;;30000;12;0715;26;45;83;;4690488019944;;;E27;G45;LED;;http://ekonomca.ru/ourproduct/#/led-series/glob-6vt;;150;;5;53;463;3003;82.6;4;;;;1;;;1;200;2;121;1;;08.03.2016;1111100000;;3;;;;50;4.3;00651-ekonomka-eco_led7wgl45e2730;G45 540Lm 7W 3000K M E27
652;652;Экономка;Eco_LED5WGL45E2730;5;1;0;3000;340;60;;220;;;30000;12;0915;26;45;73;;4690488015564;;;E27;G45;LED;;http://ekonomca.ru/ourproduct/#/led-series/glob-5vt;;131;;3.7;42;280;3008;83.1;12;;;;12;;;12;166;1;216;4;;09.03.2016;1111100000;;1;;;;35;4.2;00652-ekonomka-eco_led5wgl45e2730;G45 340Lm 5W 3000K M E27
653;653;Экономка;Eco_LED5WCNE1430;5;1;0;3000;340;60;;220;;;30000;12;0514;32;35;103;;4690488015212;;;E14;Candle;LED;;http://ekonomca.ru/ourproduct/#/led-series/svecha-5vt;;131;;3;34;224;2951;83.3;9;;;;31;;;31;172;1;215;4;;08.03.2016;1111100000;;1;;;;25;2.4;00653-ekonomka-eco_led5wcne1430;Candle 340Lm 5W 3000K M E14
654;654;Экономка;Eco_LED5WCNE2730;5;1;0;3000;340;60;;220;;;30000;12;;;35;98;;4690488015281;;;E27;Candle;LED;;http://ekonomca.ru/ourproduct/#/led-series/svecha-5vt;;114;;3.8;37;295;2993;81.8;6;;;;34;;;34;174;1;;;;08.03.2016;1111100000;;;;;;35;2.8;00654-ekonomka-eco_led5wcne2730;Candle 340Lm 5W 3000K M E27
655;655;Экономка;Eco_LED5WCNE1445;5;1;0;4500;350;60;;220;;;30000;12;0915;34;37;102;;4690488015236;;;E14;Candle;LED;;http://ekonomca.ru/ourproduct/#/led-series/svecha-5vt;;114;;3.7;42;305;4496;84.8;13;;;;12;;;12;183;1;215;4;;08.03.2016;1111100000;;3;;;;35;4.3;00655-ekonomka-eco_led5wcne1445;Candle 350Lm 5W 4500K M E14
656;656;Экономка;Eco_LED5WGU10C30;5;0;0;3000;370;50;;220;;;30000;12;0114;49;50;52;;4690488014987;;;GU10;Spot;LED;;http://ekonomca.ru/ourproduct/#/led-series/jcdrc-gu10-5vt;;104;;3.8;41;295;3034;83.9;18;;;;19;;;19;114;1;215;4;;09.03.2016;1111100000;;3;;;;35;4.0;00656-ekonomka-eco_led5wgu10c30;Spot 370Lm 5W 3000K GU10
657;657;Экономка;Eco_LED5WJCDRC45;5;0;0;4500;380;50;;220;;;30000;12;0714;20;50;46;;4690488015083;;;GU5.3;Spot;LED;;http://ekonomca.ru/ourproduct/#/led-series/jcdr-gu-5-3-5vt;;104;;3.7;42;288;4775;84.7;16;;;;28;;;28;114;1;218;4;;09.03.2016;1111100000;;3;;;;35;2.5;00657-ekonomka-eco_led5wjcdrc45;Spot 380Lm 5W 4500K GU5.3
658;658;Экономка;Eco_LED5WJCDRC30 Glass;5;0;0;3000;370;50;;220;;;30000;12;0114;36;50;45;;4690488015069;;;GU5.3;Spot;LED;;http://ekonomca.ru/ourproduct/#/led-series/jcdr-gu-5-3-5vt;;104;;3.7;41;287;3016;82.6;4;;;;18;;;18;114;1;215;4;;09.03.2016;1111100000;;6;;;;35;4.0;00658-ekonomka-eco_led5wjcdrc30-glass;Spot 370Lm 5W 3000K GU5.3
659;659;Эра;F-LED BXS-5w-827-E14;5;0;0;2700;480;45;;170-265;;;30000;24;;;35;146;;5055398686102;;;E14;Candle;LED;FIL;http://www.eraworld.ru/ru/catalog/lamps/svetodiod#fled;;177;;3.9;55;401;2763;82.3;10;;;;1;;;1;277;1;;;;09.03.2016;1111100000;;;;;;45;4.3;00659-era-f-led-bxs-5w-827-e14;Candle 480Lm 5W 2700K F E14
660;660;REV;REV-MR16-230V-7W-3000K-GU5.3;7;1;0;3000;600;60;;230;;;30000;24;;29;50;44;;4008297323242;;;GU5.3;Spot;LED;;;;184;;5.2;51;385;3078;73.9;-26;;;;1;;;1;105;3;110;1;;09.03.2016;1111100000;;5;;;;45;2.9;00660-rev-rev-mr16-230v-7w-3000k-gu53;Spot 600Lm 7W 3000K M GU5.3
661;661;ASD;LED-ШАР 5Вт E14 3000K;5;1;0;3000;450;45;;160-260;;;30000;24;1015;21;45;82;;4690612002125;;;E14;G45;LED;;http://asd-electro.ru/products/1_02_lampa_svetodiodnaya_serii_standard_/26180/;;102;;3.7;42;378;2990;73.4;-28;;;;34;;;34;196;2;215;4;;09.03.2016;1111100000;;10;;;;45;2.8;00661-asd-led-shar-5vt-e14-3000k;G45 450Lm 5W 3000K M E14
662;662;Supra;SL-LED-A60-9W/2700/E27-N;9;1;0;2700;680;75;;180-240;;;35000;36;;78;60;119;;4895156867883;;;E27;Bulb;LED;;http://supra.ru/catalog/326/2546.html;;180;;6.4;55;463;2743;82.9;9;;;;1;;;1;187;1;121;1;;08.03.2016;1111100000;;9;;;;50;3.9;00662-supra-sl-led-a60-9w-2700-e27-n;Bulb 680Lm 9W 2700K M E27
663;663;Космос;СВ МТ 60Вт E14;60;1;1;2700;630;60;;230;;;1000;0;;;35;99;;4607112681941;;Космос Электро;E14;Candle;STD;;http://kosmos.ru/ru/catalog/product/475;;17;;60.5;100;746;2819;98.6;99;;;;13;;;13;305;1;;;;09.03.2016;1111100000;;;;;;75;4.8;00663-kosmos-sv-mt-60vt-e14;Candle 630Lm 60W 2700K M D E14
664;664;Лисма;Т240-150;150;0;1;2700;2140;150;;240;;;1000;0;;;65;122;;4670000014510;;;E27;Bulb;STD;;http://lisma-guprm.ru/katalog-produktsii/izluchatel-obychnyy/t-240-150/;;20;;142;100;1955;2856;98.6;99;;;;8;;;8;326;1;;;;09.03.2016;1111100000;;;;;;160;4.8;00664-lisma-t240-150;Bulb 2140Lm 150W 2700K D E27
665;665;Лисма;Т230-200;200;0;1;2700;3040;200;;230;;;1000;0;;;65;122;;4670000014527;;;E27;Bulb;STD;;http://lisma-guprm.ru/katalog-produktsii/izluchatel-obychnyy/t-230-200/;;20;;193;100;2992;2895;98.6;99;;;;8;;;8;326;1;;;;09.03.2016;1111100000;;;;;;190;4.9;00665-lisma-t230-200;Bulb 3040Lm 200W 2700K D E27
